question,answer
"Hello?","Hello! You can ask me questions about farming, crops, pests, and more."
"What is the best crop to plant in Kenya?","Maize is a staple crop, but beans, potatoes, and vegetables are also good options."
"How do I control pests in my garden?","You can use natural methods like neem oil, insecticidal soap, or introduce beneficial insects."
What is farming?,Farming is the practice of growing crops and raising animals for food and resources.
How do I apply fertilizer?,Fertilizer is applied by spreading it around the base of the plant or mixing it into the soil.
What crops grow well in dry areas?,"Millet, sorghum and cowpeas are good crops for dry regions."
When is the best time to plant maize?,Maize is best planted at the beginning of the rainy season.
How to control pests naturally?,"You can use neem oil spray, intercropping, or garlic spray."
What is crop rotation?,Crop rotation is the practice of growing different crops in the same area in sequential seasons.
How often should I water tomatoes?,Tomatoes should be watered 2-3 times a week depending on the weather.
What is the pH level of good soil?,A good soil pH is between 6.0 and 7.5 for most crops.
What causes yellow leaves on plants?,"Yellow leaves can be caused by overwatering, nutrient deficiency, or pests."
Which fertilizer is best for leafy vegetables?,Nitrogen-rich fertilizer is ideal for leafy vegetables.
How do I prepare land for planting?,"Clear the land, till the soil, and add compost or manure before planting."
What is organic farming?,Organic farming avoids synthetic chemicals and focuses on natural inputs and biodiversity.
Can I use animal manure?,Yes animal manure is a great natural fertilizer if well-composted.
What is the difference between hybrid and GMO seeds?,"Hybrid seeds are bred naturally, while GMO seeds are genetically modified in a lab."
"What is the best time to plant maize in Kenya?","The best time is during the long rains season between March and May."
"How do I improve maize yield?","Use certified seeds, apply fertilizer correctly, and control weeds early."
"How do I know if my maize has fall armyworm?","Check for leaf damage and the presence of small worms in the whorl."
"How can I protect my beans from rust disease?","Use resistant varieties and apply appropriate fungicides."
"When should I harvest maize?","Harvest when the husks are dry and kernels are hard, usually 3–4 months after planting."
"When should I irrigate tomatoes?","Tomatoes need consistent watering 2–3 times per week, especially during flowering."
"What is drip irrigation?","A water-saving method that delivers water directly to the roots using pipes and emitters."
"How can I conserve water on my farm?","Use mulching, drip irrigation, and plant drought-tolerant crops."
"Can I use river water for farming?","Yes, but ensure it is clean and free from industrial or human waste."
"How can I control aphids?","Use neem-based sprays or insecticidal soaps. Encourage ladybugs as natural predators."
"What causes black spots on tomato leaves?","It could be fungal disease like early blight. Use fungicides as recommended."
"How do I prevent banana weevils?","Use clean planting materials and practice crop rotation."
"Which pesticide is best for fall armyworm?","Use approved insecticides like Belt, Match, or Coragen. Follow instructions carefully."
"What should I plant during dry seasons?","Consider drought-tolerant crops like sorghum, millet, and cowpeas."
"How do I prepare my farm for the rains?","Clear weeds, plough early, and create drainage channels to prevent flooding."
"Where can I get weather updates?","You can use Farmnet Kenya weather updates or visit meteo.go.ke."
"How can I request an agronomist?","Visit the 'Contacts' page, search for a verified agronomist, and click 'Request Service.'"
"How much does an agronomist charge?","Prices vary depending on the service. Check the agronomist's profile for rates."
"How do I know if an agronomist is qualified?","Farmnet Kenya verifies academic documents before approving profiles."
"Where can I buy certified seeds?","Buy from agrovet shops or KEPHIS-approved seed distributors."
"How do I know fertilizer is genuine?","Check the packaging for KEPHIS/KEBS approval and buy from reputable sellers."
"Where can I sell my produce?","Use Farmnet Kenya or local cooperative societies and market days."
"How can I store maize after harvest?","Dry properly and store in airtight bags or silos to prevent mold and pests."
"What are the benefits of crop rotation?","It improves soil health and reduces buildup of pests and diseases."
"How do I test soil fertility?","Use a soil testing kit or contact a local extension officer."
"Can I farm without using chemicals?","Yes. Use organic compost, biopesticides, and integrated pest management (IPM)."
"Why is my crop turning yellow?","Could be due to nutrient deficiency, water stress, or disease."
"What is the best way to control weeds?","Use manual weeding, mulching, or approved herbicides."
"How do I know if my soil is acidic?","A soil pH test will indicate acidity. A pH below 6.0 is considered acidic."
"What is the role of earthworms in soil health?","Earthworms aerate the soil, improve drainage, and enhance nutrient availability."
"How can I improve soil structure?","Add organic matter like compost, practice no-till farming, and rotate crops."
"What is agroforestry?","Agroforestry combines agriculture and forestry practices to improve land productivity and biodiversity."
"How do I manage soil erosion?","Plant cover    crops, build terraces, and use windbreaks to reduce soil loss." 
"How do I edit my profile?","Go to the Profile page and click 'Edit Profile'."
"How do I change my password?","Visit the Profile page, update your password, and click 'Save'."
"How do I log out?","Click on the top-right dropdown menu and select 'Logout'."
"How can I report a problem?","Use the Help section or contact support through the app."
